# Simulation 1 (Up to date)
# 738 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (mm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
5.877,1305.743,144.484,-24.68,144.525,24.687,31.752,0.004,31.752,0.007,3.422,0.581,28.61,-80.6,9.788,9.341e-4,-0.007,-0.091,1.563,1562.48,387.52,0.168,0.002,993.346,834.139,2.274,0.431,1.083e7,0,23.284,0.536,0.536,0.286,0.106,0.144,2.166e-4,5.509e-4,-9.633e-5,0,0,0,0,-9.373e-8,0.019,70,38.485,87.838,-0.009,2.039,6.513,866.223,335.246,0.05,0.012
5.927,1312.936,143.257,-24.417,143.297,24.419,31.923,0.004,31.923,0.008,3.403,0.259,28.61,-80.6,9.788,0.052,-0.007,-0.756,0.039,1562.48,387.52,0.168,0.002,992.745,834.139,2.266,0.428,1.073e7,0,22.854,0.536,0.536,0.287,0.106,0.144,0.012,0.027,3.41e-4,0,0,0,0,-6.54e-6,0.018,70,38.485,87.769,-0.019,2.028,6.466,865.458,335.217,0.05,0.012
5.977,1320.069,142.042,-24.152,142.083,24.153,32.093,0.004,32.093,0.008,3.396,0.129,28.61,-80.6,9.788,0.072,-0.007,0.75,0.033,1562.48,387.52,0.168,0.002,992.464,834.139,2.262,0.424,1.064e7,0,22.433,0.536,0.536,0.287,0.105,0.143,0.017,0.038,1.187e-4,0,0,0,0,6.553e-6,0.018,70,38.485,87.771,0.021,1.936,6.42,864.7,335.189,0.05,0.013
6.027,1327.141,140.842,-23.871,140.882,23.878,32.262,0.004,32.262,0.008,3.384,0.573,28.61,-80.6,9.788,0.005,-0.007,-2.164,0.411,1562.48,387.52,0.168,0.002,993.082,834.139,2.271,0.421,1.054e7,0,22.02,0.535,0.535,0.287,0.105,0.143,0.001,0.003,-3.369e-4,0,0,0,0,-5.545e-5,0.018,70,38.485,87.863,0.064,1.874,6.374,863.947,335.161,0.05,0.013
6.077,1334.153,139.655,-23.601,139.695,23.618,32.43,0.005,32.43,0.008,3.342,0.903,28.61,-80.6,9.788,0.065,-0.007,-0.826,0.04,1562.48,387.52,0.168,0.002,992.393,834.139,2.261,0.417,1.044e7,0,21.618,0.535,0.535,0.287,0.105,0.143,0.015,0.034,-3.007e-4,0,0,0,0,-8.209e-6,0.018,70,38.485,87.954,0.056,1.841,6.328,863.201,335.134,0.05,0.013
6.127,1341.106,138.481,-23.348,138.521,23.367,32.596,0.005,32.596,0.008,3.293,0.945,28.61,-80.6,9.788,0.075,-0.007,0.637,0.029,1562.48,387.52,0.168,0.002,992.218,834.139,2.258,0.414,1.035e7,0,21.224,0.534,0.534,0.287,0.105,0.142,0.017,0.039,3.713e-4,0,0,0,0,4.967e-6,0.018,70,38.485,87.955,0.003,1.848,6.283,862.462,335.106,0.05,0.013
6.177,1348.001,137.32,-23.114,137.359,23.121,32.76,0.005,32.76,0.008,3.252,0.567,28.61,-80.6,9.788,0.009,-0.007,2.039,0.397,1562.48,387.52,0.168,0.002,992.83,834.139,2.267,0.41,1.026e7,0,20.839,0.534,0.534,0.287,0.105,0.142,0.002,0.005,2.523e-4,0,0,0,0,5.176e-5,0.018,70,38.485,87.867,-0.022,1.888,6.238,861.728,335.079,0.05,0.013
6.227,1354.838,136.17,-22.893,136.208,22.893,32.922,0.005,32.922,0.008,3.238,0.035,28.61,-80.6,9.788,0.086,-0.007,-1.232,0.043,1562.48,387.52,0.168,0.002,991.964,834.139,2.255,0.407,1.017e7,0,20.461,0.533,0.533,0.287,0.105,0.142,0.02,0.045,1.131e-5,0,0,0,0,-1.923e-5,0.017,70,38.485,87.768,-0.005,1.838,6.194,861.001,335.052,0.05,0.013
6.277,1361.618,135.031,-22.657,135.07,22.657,33.084,0.005,33.084,0.008,3.244,0.008,28.61,-80.6,9.788,0.093,-0.007,1.31,0.027,1562.48,387.52,0.168,0.002,991.829,834.139,2.253,0.403,1.008e7,0,20.091,0.533,0.533,0.287,0.105,0.141,0.022,0.049,-2.415e-4,0,0,0,0,2.211e-5,0.017,70,38.485,87.772,0.035,1.754,6.149,860.28,335.025,0.05,0.013
6.327,1368.342,133.904,-22.404,133.943,22.411,33.246,0.005,33.246,0.009,3.234,0.553,28.61,-80.6,9.788,0.013,-0.007,-2.473,0.262,1562.48,387.52,0.168,0.002,992.595,834.139,2.264,0.4,9.987e6,0,19.729,0.533,0.533,0.287,0.105,0.141,0.003,0.007,3.372e-4,0,0,0,0,-8.009e-5,0.017,70,38.485,87.889,0.068,1.737,6.106,859.565,334.999,0.05,0.013
6.377,1375.009,132.79,-22.16,132.829,22.185,33.407,0.005,33.407,0.009,3.19,1.06,28.61,-80.6,9.788,0.112,-0.007,-0.848,0.015,1562.48,387.52,0.168,0.002,991.505,834.139,2.248,0.397,9.898e6,0,19.375,0.532,0.532,0.287,0.104,0.14,0.026,0.059,8.247e-5,0,0,0,0,-9.577e-6,0.017,70,38.485,87.99,0.058,1.77,6.062,858.855,334.973,0.05,0.013
6.427,1381.621,131.688,-21.938,131.725,21.963,33.565,0.005,33.565,0.009,3.132,1.041,28.61,-80.6,9.788,0.111,-0.007,1.758,0.008,1562.48,387.52,0.168,0.002,991.455,834.139,2.247,0.393,9.811e6,0,19.029,0.532,0.532,0.287,0.104,0.14,0.026,0.058,-1.839e-4,0,0,0,0,4.186e-5,0.017,70,38.485,87.96,0.024,1.84,6.019,858.152,334.947,0.05,0.013
6.477,1388.178,130.596,-21.743,130.633,21.747,33.72,0.005,33.72,0.009,3.091,0.416,28.61,-80.6,9.788,0.011,-0.007,-3.253,0.116,1562.48,387.52,0.168,0.002,992.43,834.139,2.261,0.39,9.725e6,0,18.689,0.531,0.531,0.287,0.104,0.14,0.003,0.006,9.686e-5,0,0,0,0,-1.457e-4,0.017,70,38.485,87.81,0.011,1.874,5.977,857.455,334.921,0.05,0.013
6.527,1394.681,129.514,-21.551,129.55,21.551,33.875,0.005,33.875,0.009,3.089,0.094,28.61,-80.6,9.788,0.114,-0.007,-1.55,0.006,1562.48,387.52,0.168,0.002,991.302,834.139,2.245,0.387,9.639e6,0,18.357,0.531,0.531,0.288,0.104,0.139,0.026,0.059,-3.739e-6,0,0,0,0,-3.362e-5,0.017,70,38.485,87.671,0.018,1.879,5.935,856.763,334.895,0.05,0.013
6.577,1401.13,128.441,-21.334,128.478,21.334,34.029,0.006,34.029,0.009,3.096,0.117,28.61,-80.6,9.788,0.074,-0.007,0.841,-0.009,1562.48,387.52,0.168,0.002,991.665,834.139,2.25,0.384,9.554e6,0,18.031,0.531,0.531,0.288,0.104,0.139,0.017,0.038,-8.097e-5,0,0,0,0,1.006e-5,0.016,70,38.485,87.66,0.029,1.966,5.893,856.077,334.87,0.05,0.013
6.627,1407.525,127.38,-21.115,127.417,21.12,34.184,0.006,34.184,0.009,3.078,0.45,28.61,-80.6,9.788,0.003,-0.007,1.054,0.026,1562.48,387.52,0.168,0.002,992.337,834.139,2.26,0.381,9.471e6,0,17.711,0.53,0.53,0.288,0.104,0.139,7.775e-4,0.002,2.378e-4,0,0,0,0,1.607e-5,0.016,70,38.485,87.729,0.035,1.988,5.851,855.397,334.845,0.05,0.014
6.677,1413.868,126.33,-20.905,126.366,20.916,34.337,0.006,34.337,0.01,3.048,0.674,28.61,-80.6,9.788,0.047,-0.007,-0.892,0.005,1562.48,387.52,0.168,0.002,991.826,834.139,2.253,0.378,9.387e6,0,17.397,0.53,0.53,0.288,0.104,0.139,0.011,0.024,-2.386e-4,0,0,0,0,-1.171e-5,0.016,70,38.485,87.791,0.037,1.937,5.81,854.722,334.82,0.05,0.014
6.727,1420.158,125.289,-20.707,125.326,20.719,34.488,0.006,34.488,0.01,3.012,0.703,28.61,-80.6,9.788,0.056,-0.007,0.213,0.021,1562.48,387.52,0.168,0.002,991.677,834.139,2.251,0.375,9.305e6,0,17.089,0.53,0.53,0.288,0.104,0.138,0.013,0.029,3.072e-4,0,0,0,0,6.778e-7,0.016,70,38.485,87.807,0.031,1.919,5.769,854.053,334.795,0.05,0.014
6.777,1426.397,124.259,-20.518,124.295,20.527,34.638,0.006,34.638,0.01,2.979,0.615,28.61,-80.6,9.788,0.038,-0.007,1.065,0.03,1562.48,387.52,0.168,0.002,991.807,834.139,2.252,0.371,9.224e6,0,16.788,0.529,0.529,0.288,0.103,0.138,0.009,0.02,-1.05e-4,0,0,0,0,1.724e-5,0.016,70,38.485,87.767,0.015,1.952,5.728,853.389,334.77,0.05,0.014
6.827,1432.584,123.238,-20.336,123.273,20.341,34.786,0.006,34.786,0.01,2.952,0.42,28.61,-80.6,9.788,0.005,-0.007,-1.545,0.142,1562.48,387.52,0.168,0.002,992.106,834.139,2.257,0.368,9.144e6,0,16.493,0.529,0.529,0.288,0.103,0.138,0.001,0.002,3.351e-4,0,0,0,0,-3.69e-5,0.016,70,38.485,87.692,0.004,2.003,5.688,852.731,334.746,0.05,0.014
6.877,1438.721,122.225,-20.157,122.26,20.159,34.934,0.006,34.934,0.01,2.937,0.274,28.61,-80.6,9.788,0.038,-0.007,-1.073,0.031,1562.48,387.52,0.168,0.002,991.707,834.139,2.251,0.365,9.064e6,0,16.204,0.529,0.529,0.288,0.103,0.137,0.009,0.02,2.263e-4,0,0,0,0,-1.81e-5,0.016,70,38.485,87.621,0.003,2.05,5.648,852.078,334.722,0.05,0.014
6.927,1444.807,121.222,-19.977,121.257,19.978,35.08,0.006,35.08,0.01,2.925,0.23,28.61,-80.6,9.788,0.048,-0.007,-0.313,0.02,1562.48,387.52,0.168,0.002,991.55,834.139,2.249,0.362,8.985e6,0,15.92,0.528,0.528,0.288,0.103,0.137,0.011,0.024,-3.629e-4,0,0,0,0,-1.562e-6,0.016,70,38.485,87.587,0.01,2.076,5.609,851.431,334.698,0.05,0.014
6.977,1450.843,120.228,-19.791,120.263,19.796,35.226,0.006,35.226,0.01,2.911,0.401,28.61,-80.6,9.788,0.008,-0.007,0.421,0.028,1562.48,387.52,0.168,0.002,991.919,834.139,2.254,0.36,8.907e6,0,15.642,0.528,0.528,0.288,0.103,0.137,0.002,0.004,-1.299e-5,0,0,0,0,2.875e-6,0.015,70,38.485,87.596,0.028,2.118,5.57,850.789,334.674,0.05,0.014
7.027,1456.83,119.243,-19.609,119.277,19.618,35.371,0.006,35.371,0.011,2.885,0.573,28.61,-80.6,9.788,0.034,-0.007,0.003,-0.016,1562.48,387.52,0.168,0.002,991.595,834.139,2.249,0.357,8.83e6,0,15.369,0.528,0.528,0.288,0.103,0.137,0.008,0.018,-1.018e-4,0,0,0,0,0,0.015,70,38.485,87.613,0.048,2.169,5.531,850.152,334.65,0.05,0.014
7.077,1462.767,118.266,-19.443,118.301,19.448,35.515,0.007,35.515,0.011,2.856,0.424,28.61,-80.6,9.788,0.001,-0.007,0.464,-0.404,1562.48,387.52,0.168,0.002,991.891,834.139,2.254,0.354,8.754e6,0,15.1,0.527,0.527,0.288,0.103,0.136,2.78e-4,1.9e-4,3.803e-5,0,0,0,0,3.62e-6,0.015,70,38.485,87.597,0.05,2.115,5.492,849.52,334.627,0.05,0.014
7.127,1468.657,117.298,-19.281,117.333,19.283,35.657,0.007,35.657,0.011,2.841,0.252,28.61,-80.6,9.788,0.039,-0.007,0.019,-0.007,1562.48,387.52,0.168,0.002,991.445,834.139,2.247,0.351,8.677e6,0,14.835,0.527,0.527,0.288,0.103,0.136,0.009,0.02,2.201e-4,0,0,0,0,6.002e-9,0.015,70,38.485,87.579,0.033,2.025,5.454,848.894,334.604,0.05,0.014
7.177,1474.497,116.338,-19.113,116.373,19.116,35.799,0.007,35.799,0.011,2.83,0.295,28.61,-80.6,9.788,0.027,-0.007,0.695,-0.021,1562.48,387.52,0.168,0.002,991.525,834.139,2.248,0.348,8.602e6,0,14.576,0.527,0.527,0.288,0.103,0.136,0.006,0.014,2.856e-4,0,0,0,0,8.369e-6,0.015,70,38.485,87.596,0.011,1.993,5.416,848.273,334.581,0.05,0.014
7.227,1480.291,115.387,-18.945,115.421,18.95,35.94,0.007,35.94,0.011,2.811,0.441,28.61,-80.6,9.788,0.012,-0.007,-0.753,-0.059,1562.48,387.52,0.168,0.002,991.637,834.139,2.25,0.345,8.528e6,0,14.323,0.526,0.526,0.288,0.103,0.135,0.003,0.006,-4.679e-4,0,0,0,0,-9.986e-6,0.015,70,38.485,87.638,-3.072e-4,1.979,5.378,847.657,334.558,0.05,0.014
7.277,1486.036,114.444,-18.779,114.478,18.789,36.08,0.007,36.08,0.011,2.785,0.594,28.61,-80.6,9.788,0.054,-0.007,-0.278,-0.028,1562.48,387.52,0.168,0.002,991.153,834.139,2.243,0.342,8.454e6,0,14.074,0.526,0.526,0.288,0.102,0.135,0.012,0.028,-2.885e-4,0,0,0,0,-1.387e-6,0.015,70,38.485,87.667,0.006,1.992,5.341,847.045,334.535,0.05,0.015
7.327,1491.735,113.509,-18.627,113.542,18.633,36.218,0.007,36.218,0.011,2.755,0.474,28.61,-80.6,9.788,0.025,-0.007,0.711,-0.018,1562.48,387.52,0.168,0.002,991.411,834.139,2.247,0.34,8.381e6,0,13.829,0.526,0.526,0.289,0.102,0.135,0.006,0.013,-1.35e-4,0,0,0,0,9.201e-6,0.015,70,38.485,87.654,0.023,1.953,5.304,846.439,334.513,0.05,0.015
7.377,1497.387,112.581,-18.475,112.614,18.48,36.355,0.007,36.355,0.011,2.735,0.448,28.61,-80.6,9.788,0.019,-0.007,0.511,-0.041,1562.48,387.52,0.168,0.002,991.429,834.139,2.247,0.337,8.309e6,0,13.589,0.526,0.526,0.289,0.102,0.135,0.004,0.01,-4.84e-4,0,0,0,0,4.841e-6,0.014,70,38.485,87.618,0.041,1.974,5.267,845.838,334.491,0.05,0.015
7.427,1502.993,111.661,-18.327,111.694,18.331,36.492,0.007,36.492,0.012,2.713,0.37,28.61,-80.6,9.788,0.002,-0.007,-1.093,-0.275,1562.48,387.52,0.168,0.002,991.567,834.139,2.249,0.334,8.237e6,0,13.354,0.525,0.525,0.289,0.102,0.135,4.115e-4,6.099e-4,-1.115e-5,0,0,0,0,-2.248e-5,0.014,70,38.485,87.573,0.043,2.023,5.231,845.257,334.469,0.05,0.015
7.477,1508.554,110.748,-18.189,110.781,18.189,36.627,0.007,36.627,0.012,2.699,0.142,28.61,-80.6,9.788,0.064,-0.007,-0.655,-0.016,1562.48,387.52,0.168,0.002,990.879,834.139,2.239,0.331,8.166e6,0,13.123,0.525,0.525,0.289,0.102,0.134,0.015,0.033,-1.252e-4,0,0,0,0,-8.209e-6,0.014,70,38.485,87.527,0.029,1.954,5.194,844.694,334.447,0.05,0.015
7.527,1514.068,109.842,-18.044,109.875,18.045,36.762,0.008,36.762,0.012,2.696,0.109,28.61,-80.6,9.788,0.072,-0.007,0.7,-0.008,1562.48,387.52,0.168,0.002,990.75,834.139,2.237,0.329,8.096e6,0,12.895,0.525,0.525,0.289,0.102,0.134,0.017,0.037,-8.676e-5,0,0,0,0,9.537e-6,0.014,70,38.485,87.528,0.013,1.895,5.159,844.136,334.425,0.05,0.015
7.577,1519.538,108.944,-17.89,108.977,17.894,36.896,0.008,36.896,0.012,2.686,0.375,28.61,-80.6,9.788,0.005,-0.007,-1.276,-0.148,1562.48,387.52,0.168,0.002,991.406,834.139,2.247,0.326,8.026e6,0,12.672,0.524,0.524,0.289,0.102,0.134,0.001,0.003,-1.915e-4,0,0,0,0,-3.218e-5,0.014,70,38.485,87.584,0.012,1.924,5.123,843.582,334.403,0.05,0.015
7.627,1524.963,108.053,-17.738,108.086,17.751,37.03,0.008,37.03,0.012,2.658,0.677,28.61,-80.6,9.788,0.095,-0.007,-0.479,-0.003,1562.48,387.52,0.168,0.002,990.427,834.139,2.233,0.323,7.958e6,0,12.455,0.524,0.524,0.289,0.102,0.134,0.022,0.049,-2.487e-4,0,0,0,0,-4.604e-6,0.014,70,38.485,87.635,0.02,1.999,5.088,843.033,334.382,0.05,0.015
7.677,1530.343,107.17,-17.598,107.202,17.614,37.162,0.008,37.162,0.012,2.62,0.753,28.61,-80.6,9.787,0.12,-0.007,1.21,-0.006,1562.48,387.52,0.168,0.002,990.131,834.139,2.228,0.321,7.889e6,0,12.241,0.524,0.524,0.289,0.102,0.133,0.028,0.062,-3.345e-4,0,0,0,0,2.993e-5,0.014,70,38.485,87.616,0.026,2.078,5.053,842.489,334.361,0.05,0.015
7.727,1535.68,106.293,-17.472,106.325,17.48,37.292,0.008,37.292,0.012,2.586,0.521,28.61,-80.6,9.787,0.051,-0.007,2.555,-0.019,1562.48,387.52,0.168,0.002,990.806,834.139,2.238,0.318,7.822e6,0,12.029,0.524,0.524,0.289,0.102,0.133,0.012,0.027,4.471e-4,0,0,0,0,1.356e-4,0.014,70,38.485,87.513,0.028,2.126,5.018,841.949,334.34,0.05,0.015
7.777,1540.973,105.423,-17.359,105.454,17.359,37.421,0.008,37.421,0.012,2.571,0.064,28.61,-80.6,9.787,0.089,-0.007,-2.45,-0.004,1562.48,387.52,0.168,0.002,990.377,834.139,2.232,0.316,7.754e6,0,11.821,0.523,0.523,0.289,0.102,0.133,0.02,0.045,-2.812e-4,0,0,0,0,-1.267e-4,0.014,70,38.485,87.377,0.033,2.084,4.984,841.413,334.319,0.05,0.015
7.827,1546.222,104.557,-17.242,104.589,17.244,37.55,0.008,37.55,0.012,2.578,0.228,28.61,-80.6,9.787,0.181,-0.007,-0.381,-0.013,1562.48,387.52,0.168,0.002,989.386,834.139,2.218,0.313,7.687e6,0,11.617,0.523,0.523,0.289,0.101,0.133,0.042,0.092,-1.341e-4,0,0,0,0,-3.122e-6,0.013,70,38.485,87.301,0.032,2.001,4.95,840.882,334.298,0.05,0.015
7.877,1551.429,103.699,-17.101,103.731,17.101,37.679,0.008,37.679,0.013,2.588,0.035,28.61,-80.6,9.787,0.099,-0.007,1.907,-0.019,1562.48,387.52,0.168,0.002,990.201,834.139,2.229,0.311,7.621e6,0,11.416,0.523,0.523,0.289,0.101,0.133,0.023,0.051,3.754e-4,0,0,0,0,7.935e-5,0.013,70,38.485,87.346,0.025,2.032,4.916,840.355,334.278,0.05,0.015
7.927,1556.592,102.847,-16.955,102.879,16.961,37.808,0.008,37.808,0.013,2.573,0.478,28.61,-80.6,9.787,0.046,-0.007,-1.942,-0.004,1562.48,387.52,0.168,0.002,990.712,834.139,2.237,0.308,7.556e6,0,11.22,0.523,0.523,0.289,0.101,0.132,0.011,0.024,-2.522e-4,0,0,0,0,-8.367e-5,0.013,70,38.485,87.456,0.013,2.096,4.882,839.832,334.257,0.05,0.016
7.977,1561.713,102.003,-16.827,102.035,16.836,37.936,0.008,37.936,0.013,2.542,0.566,28.61,-80.6,9.787,0.08,-0.007,-0.819,-0.015,1562.48,387.52,0.168,0.002,990.32,834.139,2.231,0.305,7.491e6,0,11.025,0.523,0.523,0.289,0.101,0.132,0.018,0.041,4.991e-4,0,0,0,0,-1.511e-5,0.013,70,38.485,87.533,0.011,2.009,4.849,839.314,334.237,0.05,0.016
8.027,1566.793,101.165,-16.708,101.196,16.715,38.062,0.009,38.062,0.013,2.517,0.463,28.61,-80.6,9.787,0.051,-0.007,-0.224,-0.02,1562.48,387.52,0.168,0.002,990.59,834.139,2.235,0.303,7.426e6,0,10.833,0.522,0.522,0.289,0.101,0.132,0.012,0.026,2.53e-5,0,0,0,0,-1.156e-6,0.013,70,38.485,87.556,0.029,1.887,4.816,838.8,334.217,0.05,0.016
8.077,1571.83,100.332,-16.595,100.363,16.597,38.188,0.009,38.188,0.013,2.498,0.292,28.61,-80.6,9.787,0.004,-0.007,-0.204,-0.025,1562.48,387.52,0.168,0.002,991.043,834.139,2.241,0.3,7.362e6,0,10.645,0.522,0.522,0.289,0.101,0.132,9.393e-4,0.002,3.467e-4,0,0,0,0,-9.731e-7,0.013,70,38.485,87.55,0.046,1.785,4.783,838.29,334.197,0.05,0.016
8.127,1576.826,99.505,-16.481,99.536,16.482,38.312,0.009,38.312,0.013,2.488,0.179,28.61,-80.6,9.787,0.041,-0.007,0.21,-0.005,1562.48,387.52,0.168,0.002,990.623,834.139,2.235,0.298,7.298e6,0,10.46,0.522,0.522,0.289,0.101,0.132,0.009,0.021,3.102e-6,0,0,0,0,1.048e-6,0.013,70,38.485,87.547,0.05,1.697,4.751,837.784,334.178,0.05,0.016
8.177,1581.781,98.684,-16.363,98.715,16.364,38.436,0.009,38.436,0.013,2.479,0.243,28.61,-80.6,9.787,0.017,-0.007,0.68,0.006,1562.48,387.52,0.168,0.002,990.842,834.139,2.239,0.296,7.235e6,0,10.279,0.522,0.522,0.289,0.101,0.131,0.004,0.008,-3.822e-4,0,0,0,0,1.114e-5,0.013,70,38.485,87.569,0.043,1.68,4.718,837.283,334.158,0.05,0.016
8.227,1586.694,97.869,-16.244,97.9,16.248,38.56,0.009,38.56,0.013,2.463,0.359,28.61,-80.6,9.787,0.027,-0.007,-0.517,0.012,1562.48,387.52,0.168,0.002,990.704,834.139,2.237,0.293,7.172e6,0,10.101,0.521,0.521,0.289,0.101,0.131,0.006,0.014,-9.8e-5,0,0,0,0,-6.558e-6,0.013,70,38.485,87.602,0.031,1.686,4.686,836.785,334.139,0.05,0.016
8.277,1591.568,97.06,-16.129,97.09,16.134,38.683,0.009,38.683,0.013,2.443,0.43,28.61,-80.6,9.787,0.055,-0.007,-0.071,0.007,1562.48,387.52,0.168,0.002,990.375,834.139,2.232,0.291,7.11e6,0,9.926,0.521,0.521,0.289,0.101,0.131,0.013,0.028,1.171e-4,0,0,0,0,-1.259e-7,0.012,70,38.485,87.619,0.022,1.691,4.655,836.292,334.12,0.05,0.016
8.327,1596.4,96.256,-16.017,96.286,16.024,38.804,0.009,38.804,0.014,2.42,0.481,28.61,-80.6,9.787,0.076,-0.007,0.624,-0.005,1562.48,387.52,0.168,0.002,990.128,834.139,2.228,0.288,7.049e6,0,9.755,0.521,0.521,0.289,0.101,0.131,0.017,0.038,2.657e-4,0,0,0,0,9.858e-6,0.012,70,38.485,87.604,0.023,1.738,4.623,835.803,334.101,0.05,0.016
8.377,1601.193,95.458,-15.914,95.488,15.917,38.925,0.009,38.925,0.014,2.397,0.343,28.61,-80.6,9.787,0.025,-0.007,1.481,-0.014,1562.48,387.52,0.168,0.002,990.625,834.139,2.236,0.286,6.988e6,0,9.585,0.521,0.521,0.289,0.101,0.131,0.006,0.013,-4.694e-4,0,0,0,0,5.652e-5,0.012,70,38.485,87.548,0.031,1.735,4.592,835.318,334.082,0.05,0.016
8.427,1605.946,94.664,-15.821,94.695,15.821,39.044,0.009,39.044,0.014,2.388,0.016,28.61,-80.6,9.787,0.098,-0.007,-1.131,0.013,1562.48,387.52,0.168,0.002,989.83,834.139,2.224,0.284,6.927e6,0,9.418,0.521,0.521,0.29,0.101,0.13,0.023,0.05,-2.691e-4,0,0,0,0,-3.353e-5,0.012,70,38.485,87.478,0.037,1.612,4.561,834.837,334.063,0.05,0.016
8.477,1610.66,93.876,-15.719,93.906,15.719,39.164,0.01,39.164,0.014,2.393,0.059,28.61,-80.6,9.787,0.128,-0.007,0.532,-0.002,1562.48,387.52,0.168,0.002,989.494,834.139,2.219,0.281,6.867e6,0,9.254,0.52,0.52,0.29,0.101,0.13,0.029,0.065,-1.848e-4,0,0,0,0,7.539e-6,0.012,70,38.485,87.461,0.041,1.548,4.531,834.359,334.045,0.05,0.016
8.527,1615.334,93.093,-15.604,93.123,15.606,39.283,0.01,39.283,0.014,2.391,0.203,28.61,-80.6,9.787,0.024,-0.007,1.385,0.017,1562.48,387.52,0.168,0.002,990.544,834.139,2.234,0.279,6.807e6,0,9.093,0.52,0.52,0.29,0.1,0.13,0.005,0.012,-3.389e-4,0,0,0,0,5.196e-5,0.012,70,38.485,87.513,0.039,1.617,4.5,833.886,334.026,0.05,0.016
8.577,1619.969,92.315,-15.493,92.346,15.499,39.402,0.01,39.402,0.014,2.373,0.437,28.61,-80.6,9.787,0.073,-0.007,-0.902,0.007,1562.48,387.52,0.168,0.002,990.007,834.139,2.227,0.277,6.748e6,0,8.935,0.52,0.52,0.29,0.1,0.13,0.017,0.037,-2.992e-4,0,0,0,0,-2.242e-5,0.012,70,38.485,87.577,0.033,1.662,4.47,833.417,334.008,0.05,0.017
8.627,1624.566,91.543,-15.39,91.573,15.399,39.52,0.01,39.52,0.014,2.348,0.519,28.61,-80.6,9.787,0.11,-0.007,-0.01,-0.003,1562.48,387.52,0.168,0.002,989.587,834.139,2.221,0.274,6.689e6,0,8.779,0.52,0.52,0.29,0.1,0.13,0.025,0.056,1.426e-4,0,0,0,0,0,0.012,70,38.485,87.602,0.024,1.667,4.44,832.952,333.99,0.05,0.017
8.677,1629.124,90.776,-15.295,90.806,15.301,39.637,0.01,39.637,0.014,2.323,0.435,28.61,-80.6,9.787,0.078,-0.007,1.081,-5.64e-4,1562.48,387.52,0.168,0.002,989.891,834.139,2.225,0.272,6.631e6,0,8.626,0.52,0.52,0.29,0.1,0.13,0.018,0.04,-1.935e-4,0,0,0,0,3.331e-5,0.012,70,38.485,87.572,0.021,1.652,4.411,832.491,333.972,0.05,0.017
8.727,1633.643,90.014,-15.202,90.043,15.206,39.753,0.01,39.753,0.015,2.304,0.341,28.61,-80.6,9.787,0.039,-0.007,1.49,0.022,1562.48,387.52,0.168,0.002,990.268,834.139,2.23,0.27,6.573e6,0,8.475,0.519,0.519,0.29,0.1,0.129,0.009,0.019,-1.545e-4,0,0,0,0,6.428e-5,0.012,70,38.485,87.503,0.022,1.678,4.381,832.033,333.954,0.05,0.017
8.777,1638.125,89.256,-15.106,89.285,15.111,39.868,0.01,39.868,0.015,2.288,0.38,28.61,-80.6,9.787,0.055,-0.007,1.843,-0.007,1562.48,387.52,0.168,0.002,990.08,834.139,2.228,0.268,6.516e6,0,8.328,0.519,0.519,0.29,0.1,0.129,0.012,0.027,-1.302e-4,0,0,0,0,9.999e-5,0.011,70,38.485,87.416,0.029,1.823,4.352,831.58,333.936,0.05,0.017
8.827,1642.569,88.503,-15.012,88.532,15.017,39.982,0.01,39.982,0.015,2.268,0.4,28.61,-80.6,9.787,0.062,-0.007,2.568,-0.023,1562.48,387.52,0.168,0.002,989.976,834.139,2.226,0.265,6.459e6,0,8.183,0.519,0.519,0.29,0.1,0.129,0.014,0.032,2.461e-4,0,0,0,0,1.975e-4,0.011,70,38.485,87.305,0.038,1.998,4.323,831.13,333.919,0.05,0.017
